1000
3
C:\Users\Chesler Lab\Desktop\JPhillip_PVloop_MI_2019\JPhillip_PVloop\2.10.17 f2p (2017_08_21 22_00_05 UTC).nss
2/10/2017 10:29:09 AM
1
3925301000
3950660741
Time,LAS30a1.Analog Channel  01,LAS30a1.Analog Channel  02
ms,mV,mV
0,3.44466571537593,25.1284105159611
1,4.08694379544116,25.1284105159611
2,5.15740726221655,24.6770421955425
3,6.44196342234701,24.3761299819301
4,8.15470496918763,24.5265860887363
5,10.2956319027384,24.6770421955425
6,12.8647442229993,24.8274983023487
7,15.0056711565501,24.8274983023487
8,17.1465980901009,24.0752177683177
9,18.8593396369415,24.0752177683177
10,20.357988490427,24.3761299819301
11,21.6425446505575,24.5265860887363
12,23.141193504043,25.7302349431859
13,24.2116569708184,25.8806910499921
14,25.0680277442387,25.5797788363797
15,25.924398517659,25.5797788363797
16,26.5666765977243,24.9779544091549
17,27.2089546777895,24.8274983023487
18,27.6371400644996,24.0752177683177
19,28.0653254512098,23.9247616615115
20,28.707603531275,22.2697444866432
21,29.1357889179852,21.9688322730308
22,29.5639743046953,20.4642712049688
23,29.9921596914055,20.3138150981626
24,30.2062523847606,18.9597101369067
25,30.6344377714707,18.8092540301005
26,30.8485304648258,17.0037807484261
27,31.276715851536,16.8533246416199
28,31.276715851536,15.3487635735578
29,31.276715851536,15.1983074667516
30,31.276715851536,14.2955708259144
31,30.8485304648258,14.1451147191082
32,30.6344377714707,13.0919219714648
33,30.4203450781156,12.9414658646586
34,29.9921596914055,11.8882731170151
35,29.5639743046953,11.8882731170151
36,28.9216962246301,11.2864486897903
37,28.2794181445649,11.2864486897903
38,27.8512327578547,10.9855364761779
39,26.9948619844344,10.9855364761779
40,26.1384912110141,10.3837120489531
41,25.0680277442387,10.3837120489531
42,23.7834715841083,10.0827998353407
43,22.4989154239778,10.0827998353407
44,21.0002665704923,9.93234372853447
45,19.5016177170067,10.0827998353407
46,18.0029688635212,9.78188762172827
47,16.5043200100356,9.78188762172827
48,15.0056711565501,9.93234372853447
49,13.0788369163544,9.93234372853447
50,11.3660953695138,10.0827998353407
51,10.0815392093833,10.0827998353407
52,8.79698304925286,10.0827998353407
53,7.51242688912239,10.0827998353407
54,6.65605611570209,9.93234372853447
55,5.79968534228178,9.93234372853447
56,5.15740726221655,10.3837120489531
57,4.72922187550639,10.3837120489531
58,4.08694379544116,10.2332559421469
59,3.65875840873101,10.2332559421469
60,3.44466571537593,10.2332559421469
61,3.01648032866577,10.3837120489531
62,2.8023876353107,10.5341681557593
63,2.58829494195562,10.6846242625655
64,2.58829494195562,10.8350803693717
65,2.37420224860054,10.8350803693717
66,2.37420224860054,10.8350803693717
67,2.37420224860054,10.8350803693717
68,2.37420224860054,10.9855364761779
69,2.37420224860054,11.2864486897903
70,2.37420224860054,11.5873609034027
71,2.37420224860054,11.5873609034027
72,2.37420224860054,11.7378170102089
73,2.37420224860054,11.8882731170151
74,2.37420224860054,12.1891853306275
75,2.58829494195562,12.6405536510462
76,2.58829494195562,12.9414658646586
77,2.58829494195562,12.9414658646586
78,2.8023876353107,13.0919219714648
79,2.8023876353107,13.242378078271
80,3.01648032866577,13.3928341850772
81,3.01648032866577,13.994658612302
82,3.01648032866577,14.2955708259144
83,3.01648032866577,14.746939146333
84,3.01648032866577,15.0478513599454
85,3.23057302202085,15.6496757871702
86,3.01648032866577,15.9505880007826
87,3.23057302202085,16.7028685348137
88,3.23057302202085,17.0037807484261
89,3.23057302202085,17.4551490688447
90,3.44466571537593,17.6056051756509
91,3.23057302202085,18.5083418164881
92,3.44466571537593,18.6587979232943
93,3.23057302202085,20.0129028845502
94,3.23057302202085,20.3138150981626
95,3.23057302202085,20.7651834185812
96,3.23057302202085,20.9156395253874
97,3.23057302202085,21.5174639526122
98,3.23057302202085,21.6679200594184
99,3.23057302202085,22.2697444866432
100,3.23057302202085,22.4202005934494
101,3.23057302202085,22.5706567002556
102,3.23057302202085,22.5706567002556
103,3.23057302202085,22.5706567002556
104,3.01648032866577,22.5706567002556
105,3.01648032866577,23.1724811274804
106,3.01648032866577,23.3229372342867
107,3.23057302202085,22.871568913868
108,3.01648032866577,22.7211128070618
109,3.01648032866577,22.7211128070618
110,3.44466571537593,22.7211128070618
111,3.65875840873101,23.0220250206742
112,4.30103648879624,23.1724811274804
113,5.15740726221655,22.2697444866432
114,6.44196342234701,22.2697444866432
115,8.15470496918763,21.9688322730308
116,10.2956319027384,21.8183761662246
117,12.6506515296442,22.2697444866432
118,15.0056711565501,22.4202005934494
119,16.9325053967458,22.7211128070618
120,18.8593396369415,22.7211128070618
121,20.357988490427,22.7211128070618
122,21.6425446505575,22.7211128070618
